trade_id,position_id,symbol,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,commission,net_pnl,exit_reason,duration_minutes,return_percent
91be180b,07d065fd,DEFAULT,2025-10-01 09:20:42+05:30,2025-10-01 09:21:29+05:30,215.1,216.3,464,556.8000000000079,64.17223008,492.6277699200079,Trailing Stop,0,0.49358334728034264
56c62139,986f8752,DEFAULT,2025-10-01 09:22:02+05:30,2025-10-01 09:26:11+05:30,224.9,227.3,446,1070.4000000000026,64.81968652,1005.5803134800026,Trailing Stop,4,1.002518621609607
62c41325,e79f5b39,DEFAULT,2025-10-01 09:26:21+05:30,2025-10-01 09:30:41+05:30,230.0,240.0,110,1100.0,16.88016,1083.11984,Take Profit 1,4,4.281106086956522
9e7b8040,e79f5b39,DEFAULT,2025-10-01 09:26:21+05:30,2025-10-01 09:32:40+05:30,230.0,236.45,330,2128.4999999999964,49.891422899999995,2078.608577099996,Trailing Stop,6,2.7386147260869516
a2ff0bfe,9fa95029,DEFAULT,2025-10-01 09:33:00+05:30,2025-10-01 09:35:56+05:30,238.45,240.55,438,919.80000000001,67.36775946,852.43224054001,Trailing Stop,2,0.8161846634514669
94df9a1b,91d250e8,DEFAULT,2025-10-01 09:36:13+05:30,2025-10-01 09:40:44+05:30,245.2,243.0,429,-943.7999999999952,66.65553179999999,-1010.4555317999951,Trailing Stop,4,-0.9605930668841717
ecfd084f,2244baed,DEFAULT,2025-10-01 09:40:48+05:30,2025-10-01 09:43:22+05:30,247.0,258.1,105,1165.5000000000023,17.3280597,1148.1719403000022,Take Profit 1,2,4.4271137085020325
38865447,2244baed,DEFAULT,2025-10-01 09:40:48+05:30,2025-10-01 09:45:33+05:30,247.0,261.4,317,4564.799999999993,52.98311371999999,4511.816886279993,Trailing Stop,4,5.7622918380566714
25c1f392,d23d8de9,DEFAULT,2025-10-01 09:46:40+05:30,2025-10-01 09:48:58+05:30,262.45,273.75,104,1175.2000000000012,18.203718,1156.9962820000012,Take Profit 1,2,4.238889026481239
7b894992,d23d8de9,DEFAULT,2025-10-01 09:46:40+05:30,2025-10-01 09:50:16+05:30,262.45,267.95,314,1727.0,53.79675022,1673.20324978,Trailing Stop,3,2.030357313774052
8b1b128e,6c9f4daf,DEFAULT,2025-10-01 09:52:24+05:30,2025-10-01 09:55:36+05:30,253.4,263.5,111,1121.0999999999995,18.7014909,1102.3985090999995,Take Profit 1,3,3.9193046961325946
