Unnamed: 0,Unnamed: 1,Unnamed: 2,Gross P&L Total,"-24,327.67",Unnamed: 5,Unnamed: 6
,,,,,,
Indicators Activated,EMA Parameters,MACD Parameters,SL Points,TP Points,Trailing Stop,Green Bars Required for Entry
"EMA Crossover, MACD, VWAP, ATR","Fast EMA: 9, Slow EMA: 21","Fast: 12, Slow: 26, Signal: 9",15.0,"10.0, 25.0, 50.0, 100.0","Enabled: False, Activation: 5.0 points, Distance: 7.0 points",3
,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L
,,,,,,
2025-09-30 09:20:17,2025-09-30 09:20:55,234.85,245,,106,1059.29
2025-09-30 09:20:17,2025-09-30 09:24:14,234.85,219.75,,319,-4861.72
2025-09-30 09:26:17,2025-09-30 09:26:54,233.55,218.25,,411,-6345.65
2025-09-30 10:01:46,2025-09-30 10:03:30,195,179.9,,460,-6998.91
2025-09-30 11:00:42,2025-09-30 11:06:17,173.15,183.4,,119,1205.8
2025-09-30 11:00:42,2025-09-30 11:20:31,173.15,198.8,,119,3037.22
2025-09-30 11:00:42,2025-09-30 11:23:18,173.15,157.6,,239,-3740.53
2025-09-30 11:31:36,2025-09-30 11:36:02,173.55,186.75,,119,1556.59
2025-09-30 11:31:36,2025-09-30 11:44:06,173.55,157.95,,360,-5652.36
2025-09-30 12:05:28,2025-09-30 12:20:00,169,179.6,,116,1216.28
2025-09-30 12:05:28,2025-09-30 12:22:08,169,195,,116,3001.54
2025-09-30 12:05:28,2025-09-30 13:02:17,169,153.7,,235,-3618.59
2025-09-30 13:09:29,2025-09-30 13:11:06,177.6,188.2,,112,1173.72
2025-09-30 13:09:29,2025-09-30 13:23:08,177.6,161.75,,336,-5360.35
,,,,,,
Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding,,
,,Starting Capital,,100000,,
16.61,1042.69,Take Profit 1,0.63,101042.69,,
44.82,-4906.54,Stop Loss,3.95,96136.15,,
57.35,-6403.01,Stop Loss,0.62,89733.14,,
52.91,-7051.83,Stop Loss,1.73,82681.31,,
13.95,1191.84,Take Profit 1,5.58,83873.15,,
15.13,3022.1,Take Profit 2,19.82,86895.25,,
24.08,-3764.62,Stop Loss,22.6,83130.63,,
14.21,1542.38,Take Profit 1,4.43,84673.01,,
36.36,-5688.72,Stop Loss,12.5,78984.3,,
13.32,1202.96,Take Profit 1,14.53,80187.25,,
14.46,2987.07,Take Profit 2,16.67,83174.33,,
23.09,-3641.69,Stop Loss,56.82,79532.64,,
13.48,1160.24,Take Profit 1,1.62,80692.88,,
34.75,-5395.1,Stop Loss,13.65,75297.78,,
