Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L,Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding
,,,,,,,,,Starting Capital,,100000.0
2025-07-21 09:20:00,2025-07-21 09:20:53,185.55,196.6,,75.0,819.51,9.24,810.28,Take Profit 1,0.88,100810.28
2025-07-21 09:20:00,2025-07-21 09:21:44,185.55,199.9,,375.0,5334.29,46.96,5287.33,Trailing Stop,1.73,106097.61
2025-07-21 09:52:24,2025-07-21 09:54:45,150.4,140.15,,525.0,-5427.34,46.09,-5473.43,Stop Loss,2.35,100624.18
2025-07-21 10:17:55,2025-07-21 10:25:52,120.2,119.9,,450.0,-168.8,33.8,-202.6,Trailing Stop,7.95,100421.58
2025-07-21 11:10:59,2025-07-21 11:34:20,109.55,107.55,,450.0,-930.32,30.32,-960.63,Trailing Stop,23.35,99460.95
2025-07-21 13:00:39,2025-07-21 13:51:18,117.1,127.65,,75.0,785.25,6.0,779.26,Take Profit 1,50.65,100240.2
2025-07-21 13:00:39,2025-07-21 13:58:36,117.1,142.3,,75.0,1883.31,6.69,1876.63,Take Profit 2,57.95,102116.83
2025-07-21 13:00:39,2025-07-21 13:59:00,117.1,140.0,,300.0,6843.69,26.31,6817.38,Trailing Stop,58.35,108934.21
