Unnamed: 0,Unnamed: 1,Unnamed: 2,Gross P&L Total,"-32,285.20",Unnamed: 5,Unnamed: 6
,,,,,,
Indicators Activated,EMA Parameters,MACD Parameters,SL Points,TP Points,Trailing Stop,Green Bars Required for Entry
"EMA Crossover, MACD, VWAP, ATR","Fast EMA: 9, Slow EMA: 21","Fast: 12, Slow: 26, Signal: 9",7.0,"10.0, 25.0, 50.0, 100.0","Enabled: False, Activation: 5.0 points, Distance: 7.0 points",3
,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L
,,,,,,
2025-09-30 09:20:17,2025-09-30 09:20:55,234.85,245,,75,749.5
2025-09-30 09:20:17,2025-09-30 09:23:01,234.85,227.4,,300,-2278.62
2025-09-30 09:26:17,2025-09-30 09:26:49,233.55,225,,375,-3260.2
2025-09-30 10:01:46,2025-09-30 10:02:25,195,187.6,,450,-3383.98
2025-09-30 10:02:40,2025-09-30 10:02:59,196.7,189,,450,-3519.38
2025-09-30 11:00:41,2025-09-30 11:00:54,171.65,164.4,,450,-3309.8
2025-09-30 11:01:47,2025-09-30 11:06:15,169.25,179.7,,75,775.13
2025-09-30 11:01:47,2025-09-30 11:20:25,169.25,194.4,,75,1876.93
2025-09-30 11:01:47,2025-09-30 11:23:02,169.25,162.25,,300,-2131.12
2025-09-30 11:31:35,2025-09-30 11:36:01,171.55,183.2,,75,864.96
2025-09-30 11:31:35,2025-09-30 11:40:54,171.55,164.25,,375,-2776.88
2025-09-30 12:05:28,2025-09-30 12:07:03,169,161.5,,450,-3421.47
2025-09-30 12:17:07,2025-09-30 12:22:03,170.9,184.9,,75,1041.13
2025-09-30 12:17:07,2025-09-30 12:22:09,170.9,196.2,,75,1888.09
2025-09-30 12:17:07,2025-09-30 12:49:51,170.9,163.9,,300,-2131.44
2025-09-30 12:52:52,2025-09-30 12:56:13,172.3,163.6,,450,-3962.07
2025-09-30 12:57:41,2025-09-30 12:58:49,170.1,163.1,,450,-3196.93
2025-09-30 12:59:34,2025-09-30 13:01:36,169.7,162.25,,375,-2832.65
2025-09-30 13:09:29,2025-09-30 13:11:06,177.6,188.2,,75,785.97
2025-09-30 13:09:29,2025-09-30 13:14:08,177.6,170.4,,300,-2192.69
2025-09-30 13:14:30,2025-09-30 13:17:45,170.35,180.35,,75,741.35
2025-09-30 13:14:30,2025-09-30 13:23:08,170.35,161.75,,300,-2611.03
,,,,,,
Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding,,
,,Starting Capital,,100000,,
11.75,737.75,Take Profit 1,0.63,100737.75,,
43.62,-2322.24,Stop Loss,2.73,98415.51,,
53.95,-3314.15,Stop Loss,0.53,95101.36,,
53.98,-3437.96,Stop Loss,0.65,91663.41,,
54.38,-3573.76,Stop Loss,0.32,88089.65,,
47.3,-3357.11,Stop Loss,0.22,84732.54,,
8.62,766.51,Take Profit 1,4.47,85499.05,,
9.32,1867.61,Take Profit 2,18.63,87366.66,,
31.12,-2162.25,Stop Loss,21.25,85204.41,,
8.79,856.18,Take Profit 1,4.43,86060.59,,
39.38,-2816.27,Stop Loss,9.32,83244.33,,
46.47,-3467.94,Stop Loss,1.58,79776.39,,
8.87,1032.27,Take Profit 1,4.93,80808.66,,
9.41,1878.68,Take Profit 2,5.03,82687.34,,
31.44,-2162.88,Stop Loss,32.73,80524.46,,
47.07,-4009.15,Stop Loss,3.35,76515.32,,
46.93,-3243.86,Stop Loss,1.13,73271.46,,
38.9,-2871.56,Stop Loss,2.03,70399.9,,
9.03,776.95,Take Profit 1,1.62,71176.85,,
32.69,-2225.37,Stop Loss,4.65,68951.48,,
8.65,732.7,Take Profit 1,3.25,69684.18,,
31.03,-2642.05,Stop Loss,8.63,67042.13,,
