Unnamed: 0,Unnamed: 1,Unnamed: 2,Gross P&L Total,"-19,441.19",Unnamed: 5,Unnamed: 6
,,,,,,
Indicators Activated,EMA Parameters,SL Points,TP Points,Trailing Stop,Green Bars Required for Entry,
EMA Crossover,"Fast EMA: 9, Slow EMA: 21",12.0,"10.0, 25.0, 50.0, 100.0","Enabled: True, Activation: 5.0 points, Distance: 7.0 points",3,
,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L
,,,,,,
2025-08-29 10:49:46,2025-08-29 10:51:45,244.9,243.7,,375,-507.25
2025-08-29 11:00:48,2025-08-29 11:01:46,261.4,249,,300,-3766.79
2025-08-29 11:02:38,2025-08-29 11:04:07,249.2,236,,300,-4004.35
2025-08-29 11:07:11,2025-08-29 11:11:53,250.05,238,,300,-3659.73
2025-08-29 11:15:21,2025-08-29 11:17:03,238.7,237,,300,-554.54
2025-08-29 11:21:06,2025-08-29 11:24:37,245,243.75,,300,-420.81
2025-08-29 11:32:08,2025-08-29 11:56:11,233.55,243.85,,75,761.04
2025-08-29 11:32:08,2025-08-29 11:57:10,233.55,236.65,,225,664.15
2025-08-29 11:59:27,2025-08-29 11:59:58,247,246,,300,-346.23
2025-08-29 12:02:41,2025-08-29 12:06:40,256.85,243.9,,300,-3930.84
2025-08-29 12:22:07,2025-08-29 12:25:52,256,243.9,,300,-3675.84
,,,,,,
Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding,,
,,Starting Capital,,100000,,
57.25,-564.49,Trailing Stop,1.98,99435.51,,
46.79,-3813.59,Stop Loss,0.97,95621.92,,
44.35,-4048.7,Stop Loss,1.48,91573.22,,
44.73,-3704.45,Stop Loss,4.7,87868.77,,
44.54,-599.08,Trailing Stop,1.7,87269.69,,
45.81,-466.61,Trailing Stop,3.52,86803.07,,
11.46,749.59,Take Profit 1,24.05,87552.66,,
33.35,630.79,Trailing Stop,25.03,88183.45,,
46.23,-392.46,Trailing Stop,0.52,87790.99,,
45.84,-3976.67,Stop Loss,3.98,83814.32,,
45.84,-3721.67,Stop Loss,3.75,80092.65,,
