Unnamed: 0,Unnamed: 1,Unnamed: 2,Gross P&L Total,"-1,178.00",Unnamed: 5,Unnamed: 6
,,,,,,
Indicators Activated,EMA Parameters,MACD Parameters,SL Points,TP Points,Trailing Stop,Green Bars Required for Entry
"EMA Crossover, MACD","Fast EMA: 9, Slow EMA: 21","Fast: 12, Slow: 26, Signal: 9",10.0,"10.0, 50.0, 75.0, 100.0","Enabled: True, Activation: 7.0 points, Distance: 7.0 points",3
,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L
,,,,,,
2025-08-21 13:50:39,2025-08-21 13:54:03,219.9,209.6,,375,-3911.74
2025-08-21 14:18:18,2025-08-21 14:33:52,199.85,200.5,,450,235.98
2025-08-21 14:37:53,2025-08-21 15:10:00,215.6,222.4,,375,2497.76
,,,,,,
Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding,,
,,Starting Capital,,100000,,
49.24,-3960.97,Stop Loss,3.4,96039.03,,
56.52,179.46,Trailing Stop,15.57,96218.49,,
52.24,2445.51,Exit Buffer,32.12,98664,,
