tick_id,timestamp,total_pre_convergence_ms,websocket_json_parse_ms,websocket_dict_creation_ms,websocket_total_ms,broker_timestamp_ops_ms,broker_csv_logging_ms,broker_queue_ops_ms,broker_callback_invoke_ms,broker_total_ms,trader_session_check_ms,trader_callback_invoke_ms,trader_total_ms,memory_mb
1,2025-10-22T14:53:22.237834,18.851099885068834,0.03900006413459778,0.030499999411404133,0.0868999632075429,18.721099942922592,0.002300017513334751,0.01680001150816679,0,18.758199992589653,0.0017998972907662392,0,0.005999929271638393,68.578125
2,2025-10-22T14:53:22.263196,0.12119999155402184,0.03920006565749645,0.018300022929906845,0.06800005212426186,0.029699993319809437,0.00100000761449337,0.007400056347250938,0,0.04610000178217888,0.0007998896762728691,0,0.0070999376475811005,68.5859375
3,2025-10-22T14:53:22.263196,0.07259997073560953,0.018299906514585018,0.011200085282325745,0.035499921068549156,0.01950003206729889,0.00100000761449337,0.0066999346017837524,0,0.03390002530068159,0.000800006091594696,0,0.003200024366378784,68.5859375
4,2025-10-22T14:53:22.263196,0.0809000339359045,0.025699962861835957,0.01079996582120657,0.042599975131452084,0.021700048819184303,0.00100000761449337,0.006600050255656242,0,0.03520003519952297,0.000800006091594696,0,0.003100023604929447,68.5859375
5,2025-10-22T14:53:22.263196,0.06879994180053473,0.016300007700920105,0.010900082997977734,0.03269989974796772,0.019300030544400215,0.001100008375942707,0.0065999338403344154,0,0.03290001768618822,0.000700005330145359,0,0.003200024366378784,68.5859375
6,2025-10-22T14:53:22.263196,0.06799993570894003,0.01650000922381878,0.0100000761449337,0.03170000854879618,0.01950003206729889,0.001100008375942707,0.006499933078885078,0,0.033199903555214405,0.000800006091594696,0,0.003100023604929447,68.5859375
7,2025-10-22T14:53:22.263196,0.06660004146397114,0.014599994756281376,0.009899958968162537,0.029799994081258774,0.01810002140700817,0.00100000761449337,0.008499948307871819,0,0.033400021493434906,0.000800006091594696,0,0.003400025889277458,68.5859375
8,2025-10-22T14:53:22.263196,0.07159996312111616,0.016200006939470768,0.01009996049106121,0.0323000131174922,0.018900027498602867,0.00100000761449337,0.008500064723193645,0,0.03490003291517496,0.0009998911991715431,0,0.004399917088449001,68.5859375
9,2025-10-22T14:53:22.263196,0.06079999729990959,0.014499993994832039,0.00970007386058569,0.028699985705316067,0.017999904230237007,0.000900006853044033,0.004900037311017513,0,0.028999987989664078,0.000900006853044033,0,0.003100023604929447,68.5859375
10,2025-10-22T14:53:22.263196,0.06050011143088341,0.014999997802078724,0.010199961252510548,0.02989999484270811,0.017600017599761486,0.000700005330145359,0.004800036549568176,0,0.028000096790492535,0.000700005330145359,0,0.002600019797682762,68.5859375
11,2025-10-22T14:53:22.263196,0.05810009315609932,0.013699987903237343,0.00909995287656784,0.02719997428357601,0.0171000137925148,0.000600004568696022,0.00500003807246685,0,0.02810009755194187,0.000800006091594696,0,0.002800021320581436,68.5859375
12,2025-10-22T14:53:22.263196,0.05809997674077749,0.01379998866468668,0.00909995287656784,0.02729997504502535,0.017400016076862812,0.000700005330145359,0.004699919372797012,0,0.027799978852272034,0.000800006091594696,0,0.00300002284348011,68.58984375
13,2025-10-22T14:53:22.263196,0.05619996227324009,0.013399985618889332,0.008999952115118504,0.02659996971487999,0.016700010746717453,0.000700005330145359,0.004699919372797012,0,0.026899971999228,0.000700005330145359,0,0.002700020559132099,68.59375
14,2025-10-22T14:53:22.263196,0.05700008478015661,0.013499986380338669,0.009400071576237679,0.0271000899374485,0.017000013031065464,0.000800006091594696,0.004600035026669502,0,0.02720009069889784,0.0007998896762728691,0,0.002699904143810272,68.59375
15,2025-10-22T14:53:22.263196,0.056999968364834785,0.01400010660290718,0.00900006853044033,0.027399975806474686,0.016700010746717453,0.000700005330145359,0.004500034265220165,0,0.026999972760677338,0.000800006091594696,0,0.002600019797682762,68.59375
16,2025-10-22T14:53:22.263196,0.05609996151179075,0.013499986380338669,0.00909995287656784,0.026899971999228,0.016700010746717453,0.000600004568696022,0.004599918611347675,0,0.026699970476329327,0.000700005330145359,0,0.002500019036233425,68.59375
17,2025-10-22T14:53:22.263196,0.0591999851167202,0.014399993233382702,0.009200070053339005,0.02820009831339121,0.01780001912266016,0.00100000761449337,0.004500034265220165,0,0.02829998265951872,0.0006998889148235321,0,0.002699904143810272,68.59375
18,2025-10-22T14:53:22.263196,0.05619996227324009,0.013199984095990658,0.00879995059221983,0.026399968191981316,0.016700010746717453,0.000700005330145359,0.004799920134246349,0,0.02719997428357601,0.000700005330145359,0,0.002600019797682762,68.59375
