tick_id,timestamp,total_ms,api_receive_ms,indicator_update_ms,signal_eval_ms,position_mgmt_ms,logging_ms,csv_write_ms,dataframe_ops_ms,queue_ops_ms,memory_mb,cpu_percent
1,2025-10-22T14:08:06.587484,33.141099964268506,0.0,6.353899952955544,0.0,0.0,0.0,0.0,0.0,0.0,67.30078125,0.0
2,2025-10-22T14:08:06.622500,5.3076999029144645,0.0,4.94689994957298,0.0,0.0,0.0,0.0,0.0,0.0,67.30078125,0.0
3,2025-10-22T14:08:06.629620,7.765999995172024,0.0,7.252099923789501,0.0,0.0,0.0,0.0,0.0,0.0,67.30078125,97.7
4,2025-10-22T14:08:06.639157,2.385100000537932,0.0,2.1511000813916326,0.0,0.0,0.0,0.0,0.0,0.0,67.3046875,0.0
5,2025-10-22T14:08:06.642301,2.1761999232694507,0.0,1.983199967071414,0.0,0.0,0.0,0.0,0.0,0.0,67.3046875,0.0
6,2025-10-22T14:08:06.645207,2.281100023537874,0.0,2.089699963107705,0.0,0.0,0.0,0.0,0.0,0.0,67.3046875,0.0
7,2025-10-22T14:08:06.648231,4.711900022812188,0.0,4.525299998931587,0.0,0.0,0.0,0.0,0.0,0.0,67.30859375,104.2
8,2025-10-22T14:08:06.653813,2.47269996907562,0.0,2.2692999336868525,0.0,0.0,0.0,0.0,0.0,0.0,67.30859375,0.0
9,2025-10-22T14:08:06.657055,2.148499945178628,0.0,1.9596000202000141,0.0,0.0,0.0,0.0,0.0,0.0,67.30859375,0.0
10,2025-10-22T14:08:06.659916,2.1033999510109425,0.0,1.9184000557288527,0.0,0.0,0.0,0.0,0.0,0.0,67.30859375,0.0
11,2025-10-22T14:08:06.662722,2.1985999774187803,0.0,1.9944999366998672,0.0,0.0,0.0,0.0,0.0,0.0,67.30859375,97.7
12,2025-10-22T14:08:06.665641,2.117200056090951,0.0,1.93060003221035,0.0,0.0,0.0,0.0,0.0,0.0,67.30859375,0.0
13,2025-10-22T14:08:06.668469,3.221499966457486,0.0,3.021799959242344,0.0,0.0,0.0,0.0,0.0,0.0,67.31640625,0.0
14,2025-10-22T14:08:06.672445,2.2091000573709607,0.0,2.026400063186884,0.0,0.0,0.0,0.0,0.0,0.0,67.31640625,0.0
15,2025-10-22T14:08:06.675409,2.1331000607460737,0.0,1.9598000217229128,0.0,0.0,0.0,0.0,0.0,0.0,67.31640625,104.2
16,2025-10-22T14:08:06.678284,2.121299970895052,0.0,1.9487000536173582,0.0,0.0,0.0,0.0,0.0,0.0,67.3203125,0.0
17,2025-10-22T14:08:06.681092,2.1152000408619642,0.0,1.9313000375404954,0.0,0.0,0.0,0.0,0.0,0.0,67.3203125,0.0
