Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L,Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding
,,,,,,,,,Starting Capital,,100000.0
2025-07-21 09:20:00,2025-07-21 09:20:53,185.55,196.6,,75.0,819.51,9.24,810.28,Take Profit 1,0.88,100810.28
2025-07-21 09:20:00,2025-07-21 09:21:44,185.55,199.9,,375.0,5334.29,46.96,5287.33,Trailing Stop,1.73,106097.61
2025-07-21 09:52:24,2025-07-21 09:54:39,150.4,142.2,,600.0,-4973.45,53.45,-5026.89,Stop Loss,2.25,101070.72
2025-07-21 10:17:55,2025-07-21 10:25:52,120.2,119.9,,600.0,-225.06,45.06,-270.13,Trailing Stop,7.95,100800.59
2025-07-21 11:10:59,2025-07-21 11:34:20,109.55,107.55,,600.0,-1240.42,40.42,-1280.85,Trailing Stop,23.35,99519.74
2025-07-21 13:00:39,2025-07-21 13:08:18,117.1,109.0,,600.0,-4900.97,40.97,-4941.94,Stop Loss,7.65,94577.81
2025-07-21 13:58:36,2025-07-21 13:59:16,142.9,134.65,,525.0,-4375.53,44.28,-4419.81,Stop Loss,0.67,90157.99
