Unnamed: 0,Unnamed: 1,Unnamed: 2,Gross P&L Total,"-21,292.83",Unnamed: 5,Unnamed: 6
,,,,,,
Indicators Activated,EMA Parameters,SL Points,TP Points,Trailing Stop,Green Bars Required for Entry,
EMA Crossover,"Fast EMA: 9, Slow EMA: 21",15.0,"10.0, 25.0, 50.0, 100.0","Enabled: False, Activation: 5.0 points, Distance: 7.0 points",3,
,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L
,,,,,,
2025-09-30 09:20:17,2025-09-30 09:20:55,234.85,245,,75,749.5
2025-09-30 09:20:17,2025-09-30 09:24:14,234.85,219.75,,300,-4572.15
2025-09-30 09:24:28,2025-09-30 09:25:33,221.35,231.55,,75,753.9
2025-09-30 09:24:28,2025-09-30 09:27:59,221.35,204.85,,300,-4989.29
2025-09-30 09:28:18,2025-09-30 09:29:21,210.1,195,,375,-5709.26
2025-09-30 09:29:56,2025-09-30 09:30:57,195.2,180.05,,375,-5724.42
2025-09-30 09:31:40,2025-09-30 09:32:43,185.9,197.55,,75,864.28
2025-09-30 09:31:40,2025-09-30 09:40:15,185.9,170.6,,300,-4622.72
2025-09-30 09:40:27,2025-09-30 09:43:56,173.65,183.75,,75,748.69
2025-09-30 09:40:27,2025-09-30 10:09:35,173.65,158.6,,300,-4545.42
2025-09-30 10:11:24,2025-09-30 10:23:01,158.5,169.35,,75,805.63
2025-09-30 10:11:24,2025-09-30 10:27:01,158.5,143.35,,375,-5715.62
2025-09-30 10:27:29,2025-09-30 10:36:24,143.65,128.1,,450,-7034.36
2025-09-30 10:37:33,2025-09-30 10:42:43,120.3,131,,75,796.22
2025-09-30 10:37:33,2025-09-30 10:55:03,120.3,145.3,,75,1868.03
2025-09-30 10:37:33,2025-09-30 11:00:40,120.3,170.95,,75,3790.55
2025-09-30 10:37:33,2025-09-30 14:19:45,120.3,104.15,,225,-3648.73
2025-09-30 14:20:30,2025-09-30 14:23:04,99.35,110.55,,150,1669.4
2025-09-30 14:20:30,2025-09-30 14:23:53,99.35,125.75,,150,3947.94
2025-09-30 14:20:30,2025-09-30 14:36:00,99.35,149.4,,150,7493.17
2025-09-30 14:20:30,2025-09-30 15:10:00,99.35,111.3,,150,1781.83
,,,,,,
Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding,,
,,Starting Capital,,100000,,
11.75,737.75,Take Profit 1,0.63,100737.75,,
42.15,-4614.3,Stop Loss,3.95,96123.45,,
11.1,742.79,Take Profit 1,1.08,96866.24,,
39.29,-5028.59,Stop Loss,3.52,91837.65,,
46.76,-5756.01,Stop Loss,1.05,86081.64,,
43.17,-5767.59,Stop Loss,1.02,80314.05,,
9.47,854.8,Take Profit 1,1.05,81168.85,,
32.72,-4655.45,Stop Loss,8.58,76513.4,,
8.81,739.88,Take Profit 1,3.48,77253.28,,
30.42,-4575.85,Stop Loss,29.13,72677.43,,
8.12,797.51,Take Profit 1,11.62,73474.94,,
34.37,-5749.99,Stop Loss,15.62,67724.94,,
36.86,-7071.22,Stop Loss,8.92,60653.73,,
6.28,789.94,Take Profit 1,5.17,61443.66,,
6.97,1861.06,Take Profit 2,17.5,63304.73,,
8.2,3782.35,Take Profit 3,23.12,67087.08,,
14.98,-3663.72,Stop Loss,222.2,63423.37,,
10.6,1658.79,Take Profit 1,2.57,65082.16,,
12.06,3935.88,Take Profit 2,3.38,69018.04,,
14.33,7478.84,Take Profit 3,15.5,76496.88,,
10.67,1771.15,Exit Buffer,49.5,78268.03,,
