Unnamed: 0,Unnamed: 1,Unnamed: 2,Gross P&L Total,"1,816.86",Unnamed: 5,Unnamed: 6
,,,,,,
Indicators Activated,EMA Parameters,SL Points,TP Points,Trailing Stop,Green Bars Required for Entry,
"EMA Crossover, VWAP","Fast EMA: 9, Slow EMA: 21",10.0,"10.0, 25.0, 50.0, 100.0","Enabled: True, Activation: 5.0 points, Distance: 7.0 points",3,
,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L
,,,,,,
2025-07-21 09:20:00,2025-07-21 09:20:53,185.55,196.6,,75,819.51
2025-07-21 09:20:00,2025-07-21 09:21:44,185.55,199.9,,375,5334.29
2025-07-21 09:21:56,2025-07-21 09:22:44,205.5,215.5,,75,739.88
2025-07-21 09:21:56,2025-07-21 09:23:53,205.5,211.6,,375,2237.79
2025-07-21 09:24:40,2025-07-21 09:25:43,214.95,227.95,,75,964.29
2025-07-21 09:24:40,2025-07-21 09:26:34,214.95,223.75,,375,3247.44
2025-07-21 09:26:53,2025-07-21 09:27:40,231,220.8,,450,-4652.24
2025-07-21 09:27:59,2025-07-21 09:33:06,226.25,237.1,,75,802.61
2025-07-21 09:27:59,2025-07-21 09:34:02,226.25,234,,375,2851.28
2025-07-21 09:36:53,2025-07-21 09:39:40,223.8,223.25,,450,-310.43
2025-07-21 11:49:10,2025-07-21 11:53:27,136.3,126.3,,525,-5291.54
2025-07-21 13:52:02,2025-07-21 13:58:30,127.75,137.95,,75,758.52
2025-07-21 13:52:02,2025-07-21 13:59:00,127.75,140,,450,5473.04
2025-07-21 14:00:02,2025-07-21 14:07:20,136.15,125.25,,525,-5763.69
2025-07-21 14:16:03,2025-07-21 14:21:08,128.45,118.25,,525,-5393.89
,,,,,,
Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding,,
,,Starting Capital,,100000,,
9.24,810.28,Take Profit 1,0.88,100810.28,,
46.96,5287.33,Trailing Stop,1.73,106097.61,,
10.12,729.75,Take Profit 1,0.8,106827.36,,
49.71,2188.09,Trailing Stop,1.95,109015.45,,
10.71,953.58,Take Profit 1,1.05,109969.03,,
52.56,3194.88,Trailing Stop,1.9,113163.91,,
62.24,-4714.48,Stop Loss,0.78,108449.43,,
11.14,791.47,Take Profit 1,5.12,109240.9,,
54.97,2796.31,Trailing Stop,6.05,112037.21,,
62.93,-373.36,Trailing Stop,2.78,111663.85,,
41.54,-5333.07,Stop Loss,4.28,106330.78,,
6.48,752.04,Take Profit 1,6.47,107082.81,,
39.46,5433.57,Trailing Stop,6.97,112516.38,,
41.19,-5804.88,Stop Loss,7.3,106711.5,,
38.89,-5432.78,Stop Loss,5.08,101278.72,,
