trade_id,position_id,symbol,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,commission,net_pnl,exit_reason,duration_minutes,return_percent
7c9a61ba,5a49b7b7,NIFTY,2025-09-22 09:48:21+05:30,2025-09-22 09:51:29+05:30,154.9,144.5,750,-7800.000000000005,69.294975,-7869.294975000004,Stop Loss,3,-6.773656100710139
ccee0fe2,aa8cfd7d,NIFTY,2025-09-22 09:54:30+05:30,2025-09-22 09:56:18+05:30,146.45,156.65,150,1530.0000000000025,15.024301499999998,1514.9756985000024,Take Profit 1,1,6.896441099351325
3d0b8a93,aa8cfd7d,NIFTY,2025-09-22 09:54:30+05:30,2025-09-22 10:01:54+05:30,146.45,152.7,525,3281.25,51.2590995,3229.9909005,Trailing Stop,7,4.200999399112325
15b77090,baf51f98,NIFTY,2025-09-22 10:02:06+05:30,2025-09-22 10:08:20+05:30,155.1,157.05,675,1316.2500000000116,67.78199475000001,1248.4680052500116,Trailing Stop,6,1.1925094970986572
de9f34d0,c81e311e,NIFTY,2025-09-22 10:16:43+05:30,2025-09-22 10:22:01+05:30,157.75,147.6,675,-6851.250000000004,63.703421999999996,-6914.953422000003,Stop Loss,5,-6.494057331220287
346d62ed,9c4b12de,NIFTY,2025-09-22 10:24:07+05:30,2025-09-22 10:41:23+05:30,153.5,154.6,675,742.4999999999961,66.724587,675.7754129999961,Trailing Stop,17,0.6522141758957617
46d67a03,91c88211,NIFTY,2025-09-22 10:44:54+05:30,2025-09-22 11:05:35+05:30,156.45,145.45,675,-7425.0,62.77549274999999,-7487.77549275,Stop Loss,20,-7.0904446979865785
22ffefaa,331c77f5,NIFTY,2025-09-22 11:06:55+05:30,2025-09-22 11:21:01+05:30,145.3,134.55,675,-7256.25,58.071107250000004,-7314.32110725,Stop Loss,14,-7.45769529938059
39f1bc61,3fa9aadb,NIFTY,2025-09-22 11:22:22+05:30,2025-09-22 11:32:43+05:30,132.25,122.25,675,-6750.0,52.76248875,-6802.76248875,Stop Loss,10,-7.620541890359169
89969718,25d0aa7e,NIFTY,2025-09-22 11:33:12+05:30,2025-09-22 11:42:28+05:30,125.0,135.3,150,1545.0000000000018,12.976623,1532.0233770000018,Take Profit 1,9,8.17079134400001
e25ff7e7,25d0aa7e,NIFTY,2025-09-22 11:33:12+05:30,2025-09-22 11:59:17+05:30,125.0,140.0,525,7875.0,46.99589999999999,7828.0041,Trailing Stop,26,11.9283872
7c574b72,19e5b809,NIFTY,2025-09-22 12:02:24+05:30,2025-09-22 12:05:51+05:30,136.2,134.6,675,-1079.9999999999961,58.092687,-1138.0926869999962,Trailing Stop,3,-1.237931894273124
97e4c3a1,957aa47a,NIFTY,2025-09-22 12:10:48+05:30,2025-09-22 12:43:01+05:30,134.9,145.0,150,1514.999999999999,13.906949999999998,1501.093049999999,Take Profit 1,32,7.418300222386949
f027209a,957aa47a,NIFTY,2025-09-22 12:10:48+05:30,2025-09-22 12:48:28+05:30,134.9,142.3,525,3885.000000000003,47.76797549999999,3837.2320245000033,Trailing Stop,37,5.418097390659753
dba125ca,1726b08a,NIFTY,2025-09-22 12:51:53+05:30,2025-09-22 13:19:16+05:30,143.95,133.9,675,-6783.749999999988,57.7905705,-6841.5405704999885,Stop Loss,27,-7.0410668009725494
747e65cb,aac856d1,NIFTY,2025-09-22 13:20:52+05:30,2025-09-22 13:56:09+05:30,134.3,124.25,675,-6783.750000000007,53.62567874999999,-6837.375678750007,Stop Loss,35,-7.542401675353692
d62810a3,43f3cea6,NIFTY,2025-09-22 13:58:32+05:30,2025-09-22 14:09:39+05:30,123.35,125.6,675,1518.75,54.208332,1464.541668,Trailing Stop,11,1.7589715119578435
a693e311,c86f4ace,NIFTY,2025-09-22 14:10:14+05:30,2025-09-22 14:27:00+05:30,124.9,114.45,675,-7053.750000000002,49.39604775,-7103.146047750002,Stop Loss,16,-8.425283690952764
ecc3f536,0bc8af82,NIFTY,2025-09-22 14:27:46+05:30,2025-09-22 14:29:03+05:30,115.5,105.1,675,-7020.000000000004,45.36063449999999,-7065.3606345000035,Stop Loss,1,-9.06251163636364
370ef43b,6c69339a,NIFTY,2025-09-22 14:32:10+05:30,2025-09-22 14:35:07+05:30,98.4,88.25,750,-7612.500000000005,42.3202875,-7654.820287500004,Stop Loss,2,-10.37238521341464
