Key,Value,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Indicators Activated,"EMA Crossover, VWAP",,,,,,,,,,
EMA Parameters,"Fast EMA: 9, Slow EMA: 21",,,,,,,,,,
SL Points,12.0,,,,,,,,,,
TP Points,"10.0, 25.0, 50.0, 100.0",,,,,,,,,,
Trailing Stop,"Enabled: True, Activation: 5.0 points, Distance: 7.0 points",,,,,,,,,,
Green Bars Required for Entry,7,,,,,,,,,,
,,,,,,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L,Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding
,,,,,,,,,Starting Capital,,100000
2025-07-21 09:20:00,2025-07-21 09:20:53,185.55,196.6,,75,819.51,9.24,810.28,Take Profit 1,0.88,100810.28
2025-07-21 09:20:00,2025-07-21 09:21:44,185.55,199.9,,300,4267.43,37.57,4229.87,Trailing Stop,1.73,105040.14
2025-07-21 13:58:36,2025-07-21 14:03:27,142.9,130.8,,375,-4568.23,30.73,-4598.95,Stop Loss,4.85,100441.19
