Unnamed: 0,Unnamed: 1,Unnamed: 2,Gross P&L Total,"-9,682.08",Unnamed: 5,Unnamed: 6
,,,,,,
Indicators Activated,EMA Parameters,HTF Trend Parameters,SL Points,TP Points,Trailing Stop,Green Bars Required for Entry
"EMA Crossover, HTF Trend","Fast EMA: 9, Slow EMA: 21",HTF Period: 20,7.0,"10.0, 25.0, 50.0, 100.0","Enabled: True, Activation: 5.0 points, Distance: 7.0 points",7
,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L
,,,,,,
2025-07-21 09:20:00,2025-07-21 09:20:53,185.55,196.6,,75,819.51
2025-07-21 09:20:00,2025-07-21 09:21:44,185.55,199.9,,375,5334.29
2025-07-21 09:52:24,2025-07-21 09:54:20,150.4,143.15,,600,-4403.8
2025-07-21 10:17:55,2025-07-21 10:25:52,120.2,119.9,,675,-253.2
2025-07-21 11:10:59,2025-07-21 11:34:20,109.55,107.55,,675,-1395.48
2025-07-21 13:00:39,2025-07-21 13:05:21,117.1,109.55,,675,-5142.57
2025-07-21 13:58:36,2025-07-21 13:59:07,142.9,135.25,,600,-4640.83
,,,,,,
Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding,,
,,Starting Capital,,100000,,
9.24,810.28,Take Profit 1,0.88,100810.28,,
46.96,5287.33,Trailing Stop,1.73,106097.61,,
53.8,-4457.61,Stop Loss,1.93,101640,,
50.7,-303.9,Trailing Stop,7.95,101336.11,,
45.48,-1440.95,Trailing Stop,23.35,99895.16,,
46.32,-5188.89,Stop Loss,4.7,94706.26,,
50.83,-4691.67,Stop Loss,0.52,90014.6,,
