Unnamed: 0,Unnamed: 1,Unnamed: 2,Gross P&L Total,"-5,631.46",Unnamed: 5,Unnamed: 6
,,,,,,
Indicators Activated,EMA Parameters,MACD Parameters,SL Points,TP Points,Trailing Stop,Green Bars Required for Entry
"EMA Crossover, MACD","Fast EMA: 9, Slow EMA: 21","Fast: 12, Slow: 26, Signal: 9",7.0,"10.0, 50.0, 75.0, 100.0","Enabled: True, Activation: 7.0 points, Distance: 7.0 points",3
,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L
,,,,,,
2025-08-21 13:50:39,2025-08-21 13:53:31,219.9,212.2,,375,-2937.35
2025-08-21 14:18:18,2025-08-21 14:33:52,199.85,200.5,,450,235.98
2025-08-21 14:37:53,2025-08-21 14:40:51,215.6,208.6,,375,-2674
2025-08-21 14:46:43,2025-08-21 14:59:23,212.7,212.15,,375,-256.09
,,,,,,
Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding,,
,,Starting Capital,,100000,,
49.85,-2987.19,Stop Loss,2.87,97012.81,,
56.52,179.46,Trailing Stop,15.57,97192.27,,
49,-2723,Stop Loss,2.97,94469.26,,
49.84,-305.92,Trailing Stop,12.67,94163.34,,
