Unnamed: 0,Unnamed: 1,Unnamed: 2,Gross P&L Total,"-24,031.09",Unnamed: 5,Unnamed: 6
,,,,,,
Indicators Activated,EMA Parameters,SL Points,TP Points,Trailing Stop,Green Bars Required for Entry,
EMA Crossover,"Fast EMA: 9, Slow EMA: 21",7.0,"10.0, 25.0, 50.0, 100.0","Enabled: True, Activation: 5.0 points, Distance: 7.0 points",3,
,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L
,,,,,,
2025-08-20 09:20:00,2025-08-20 09:21:19,177.6,175,,525,-1422.55
2025-08-20 09:25:15,2025-08-20 09:25:45,183,176,,450,-3199.61
2025-08-20 09:27:15,2025-08-20 09:32:52,179.7,179.05,,450,-342.97
2025-08-20 09:33:03,2025-08-20 09:33:25,182.4,175.3,,450,-3244.42
2025-08-20 09:33:39,2025-08-20 09:34:32,176,168.55,,450,-3400.01
2025-08-20 09:35:17,2025-08-20 09:39:46,168.5,178.8,,75,764.1
2025-08-20 09:35:17,2025-08-20 09:40:25,168.5,171.6,,375,1122.19
2025-08-20 09:41:34,2025-08-20 09:43:14,172.55,165.55,,450,-3196.67
2025-08-20 09:43:20,2025-08-20 09:43:59,170.55,163.05,,450,-3420.96
2025-08-20 09:44:32,2025-08-20 09:45:24,162.55,153.75,,450,-4003.34
2025-08-20 09:45:59,2025-08-20 09:47:28,156.55,148.45,,450,-3686.85
,,,,,,
Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding,,
,,Starting Capital,,100000,,
57.55,-1480.1,Trailing Stop,1.32,98519.9,,
49.61,-3249.22,Stop Loss,0.5,95270.67,,
50.47,-393.44,Trailing Stop,5.62,94877.23,,
49.42,-3293.83,Stop Loss,0.37,91583.4,,
47.51,-3447.52,Stop Loss,0.88,88135.87,,
8.4,755.7,Take Profit 1,4.48,88891.57,,
40.31,1081.88,Trailing Stop,5.13,89973.45,,
46.67,-3243.33,Stop Loss,1.67,86730.12,,
45.96,-3466.92,Stop Loss,0.65,83263.19,,
43.34,-4046.68,Stop Loss,0.87,79216.51,,
41.85,-3728.69,Stop Loss,1.48,75487.82,,
