Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L,Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding
,,,,,,,,,Starting Capital,,100000.0
2025-07-21 09:20:00,2025-07-21 09:20:53,185.55,196.6,,75.0,819.51,9.24,810.28,Take Profit 1,0.88,100810.28
2025-07-21 09:20:00,2025-07-21 09:21:44,185.55,199.9,,375.0,5334.29,46.96,5287.33,Trailing Stop,1.73,106097.61
2025-07-21 09:52:24,2025-07-21 09:54:20,150.4,143.15,,600.0,-4403.8,53.8,-4457.61,Stop Loss,1.93,101640.0
2025-07-21 10:17:55,2025-07-21 10:25:52,120.2,119.9,,675.0,-253.2,50.7,-303.9,Trailing Stop,7.95,101336.11
2025-07-21 11:10:59,2025-07-21 11:34:20,109.55,107.55,,675.0,-1395.48,45.48,-1440.95,Trailing Stop,23.35,99895.16
2025-07-21 13:00:39,2025-07-21 13:05:21,117.1,109.55,,675.0,-5142.57,46.32,-5188.89,Stop Loss,4.7,94706.26
2025-07-21 13:58:36,2025-07-21 13:59:07,142.9,135.25,,600.0,-4640.83,50.83,-4691.67,Stop Loss,0.52,90014.6
