Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L,Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding
,,,,,,,,,Starting Capital,,100000.0
2025-07-18 11:08:05,2025-07-18 11:21:18,197.95,189.5,,450.0,-3855.92,53.42,-3909.34,Stop Loss,13.22,96090.66
2025-07-18 11:44:05,2025-07-18 11:46:29,210.2,202.95,,375.0,-2766.42,47.67,-2814.1,Stop Loss,2.4,93276.57
2025-07-18 12:13:46,2025-07-18 12:16:34,207.9,200.85,,375.0,-2690.93,47.18,-2738.11,Stop Loss,2.8,90538.45
2025-07-18 12:36:48,2025-07-18 12:39:16,207.0,198.35,,375.0,-3290.34,46.59,-3336.94,Stop Loss,2.47,87201.51
2025-07-18 12:44:08,2025-07-18 12:49:36,199.0,196.45,,375.0,-1002.4,46.15,-1048.55,Trailing Stop,5.47,86152.97
