Unnamed: 0,Unnamed: 1,Unnamed: 2,Gross P&L Total,"-14,578.60",Unnamed: 5,Unnamed: 6
,,,,,,
Indicators Activated,EMA Parameters,SL Points,TP Points,Trailing Stop,Green Bars Required for Entry,
EMA Crossover,"Fast EMA: 9, Slow EMA: 21",10.0,"10.0, 25.0, 50.0, 100.0","Enabled: True, Activation: 5.0 points, Distance: 7.0 points",5,
,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L
,,,,,,
2025-07-21 09:20:00,2025-07-21 09:20:53,185.55,196.6,,75,819.51
2025-07-21 09:20:00,2025-07-21 09:21:44,185.55,199.9,,375,5334.29
2025-07-21 09:25:13,2025-07-21 09:25:54,221.7,231.75,,75,742.86
2025-07-21 09:25:13,2025-07-21 09:26:34,221.7,223.75,,375,716.19
2025-07-21 09:28:50,2025-07-21 09:33:06,226.45,237.1,,75,787.61
2025-07-21 09:28:50,2025-07-21 09:34:02,226.45,234,,375,2776.28
2025-07-21 09:36:54,2025-07-21 09:39:40,224.5,223.25,,450,-625.43
2025-07-21 09:46:46,2025-07-21 09:47:10,190.15,179.8,,525,-5492.88
2025-07-21 09:48:07,2025-07-21 09:48:48,172.4,162.4,,450,-4545.78
2025-07-21 09:49:29,2025-07-21 09:50:06,162.95,152.85,,450,-4588.09
2025-07-21 09:52:24,2025-07-21 09:54:45,150.4,140.15,,450,-4652.01
2025-07-21 09:58:54,2025-07-21 10:01:50,127.6,125.55,,450,-957.89
2025-07-21 10:06:07,2025-07-21 10:09:15,128.8,118,,450,-4893.26
,,,,,,
Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding,,
,,Starting Capital,,100000,,
9.24,810.28,Take Profit 1,0.88,100810.28,,
46.96,5287.33,Trailing Stop,1.73,106097.61,,
10.89,731.97,Take Profit 1,0.68,106829.58,,
52.56,663.63,Trailing Stop,1.35,107493.21,,
11.14,776.47,Take Profit 1,4.27,108269.69,,
54.97,2721.31,Trailing Stop,5.2,110991,,
62.93,-688.36,Trailing Stop,2.77,110302.64,,
59.13,-5552.01,Stop Loss,0.4,104750.62,,
45.78,-4591.56,Stop Loss,0.68,100159.07,,
43.09,-4631.17,Stop Loss,0.62,95527.89,,
39.51,-4691.51,Stop Loss,2.35,90836.38,,
35.39,-993.28,Trailing Stop,2.93,89843.1,,
33.26,-4926.53,Stop Loss,3.13,84916.57,,
