Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L,Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding
,,,,,,,,,Starting Capital,,100000.0
2025-07-21 09:20:00,2025-07-21 09:20:53,185.55,196.6,,75.0,819.51,9.24,810.28,Take Profit 1,0.88,100810.28
2025-07-21 09:20:00,2025-07-21 09:21:44,185.55,199.9,,300.0,4267.43,37.57,4229.87,Trailing Stop,1.73,105040.14
2025-07-21 09:25:00,2025-07-21 09:25:13,212.5,222.5,,75.0,739.55,10.45,729.09,Take Profit 1,0.22,105769.24
2025-07-21 09:25:00,2025-07-21 09:26:34,212.5,223.75,,300.0,3332.95,42.05,3290.9,Trailing Stop,1.57,109060.14
2025-07-21 09:30:00,2025-07-21 09:33:11,227.6,238.3,,75.0,791.3,11.2,780.11,Take Profit 1,3.18,109840.25
2025-07-21 09:30:00,2025-07-21 09:34:02,227.6,234.0,,375.0,2345.03,54.97,2290.06,Trailing Stop,4.03,112130.31
2025-07-21 09:35:26,2025-07-21 09:36:11,235.45,222.75,,450.0,-5777.79,62.79,-5840.58,Stop Loss,0.75,106289.73
2025-07-21 09:40:26,2025-07-21 09:40:48,222.0,209.35,,375.0,-4792.93,49.18,-4842.11,Stop Loss,0.37,101447.62
2025-07-21 09:46:10,2025-07-21 09:47:15,190.3,178.0,,375.0,-4654.31,41.81,-4696.13,Stop Loss,1.08,96751.5
2025-07-21 09:51:20,2025-07-21 09:54:45,152.25,140.15,,375.0,-4570.42,32.92,-4603.34,Stop Loss,3.42,92148.15
2025-07-21 09:56:20,2025-07-21 10:09:17,129.05,116.95,,375.0,-4564.97,27.47,-4592.44,Stop Loss,12.95,87555.71
2025-07-21 10:09:31,2025-07-21 10:12:04,120.6,108.35,,300.0,-3695.36,20.36,-3715.72,Stop Loss,2.55,83839.98
2025-07-21 10:14:46,2025-07-21 10:25:52,121.0,119.9,,300.0,-352.53,22.53,-375.06,Trailing Stop,11.1,83464.92
