Unnamed: 0,Unnamed: 1,Unnamed: 2,Gross P&L Total,"-4,770.82",Unnamed: 5,Unnamed: 6
,,,,,,
Indicators Activated,EMA Parameters,SL Points,TP Points,Trailing Stop,Green Bars Required for Entry,
EMA Crossover,"Fast EMA: 9, Slow EMA: 21",7.0,"10.0, 25.0, 50.0, 100.0","Enabled: True, Activation: 5.0 points, Distance: 7.0 points",3,
,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L
,,,,,,
2025-09-04 09:20:00,2025-09-04 09:20:38,175.8,175.5,,525,-215.22
2025-09-04 09:21:17,2025-09-04 09:22:20,184.45,177.4,,450,-3222.51
2025-09-04 09:23:27,2025-09-04 09:24:33,167.55,165.7,,525,-1025.74
2025-09-04 09:24:57,2025-09-04 09:26:16,166.65,167.4,,525,338.7
2025-09-04 09:29:17,2025-09-04 09:30:07,151.55,144.5,,600,-4284.31
2025-09-04 09:31:35,2025-09-04 09:32:57,141.35,134.05,,600,-4430.38
2025-09-04 09:36:02,2025-09-04 09:39:07,129.05,139.3,,150,1524.41
2025-09-04 09:36:02,2025-09-04 09:39:51,129.05,144.2,,450,6776.85
2025-09-04 09:40:59,2025-09-04 09:42:42,138.25,148.8,,150,1568.52
2025-09-04 09:40:59,2025-09-04 09:43:43,138.25,146.05,,450,3468.83
2025-09-04 09:44:48,2025-09-04 09:45:35,150.6,149.1,,600,-956.04
2025-09-04 09:47:07,2025-09-04 09:47:35,150.6,143.5,,600,-4313.93
,,,,,,
Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding,,
,,Starting Capital,,100000,,
57.72,-272.93,Trailing Stop,0.63,99727.07,,
50.01,-3272.51,Stop Loss,1.05,96454.55,,
54.49,-1080.24,Trailing Stop,1.1,95374.31,,
55.05,283.64,Trailing Stop,1.32,95657.96,,
54.31,-4338.62,Stop Loss,0.83,91319.34,,
50.38,-4480.77,Stop Loss,1.37,86838.57,,
13.09,1511.32,Take Profit 1,3.08,88349.89,,
40.65,6736.2,Trailing Stop,3.82,95086.1,,
13.98,1554.54,Take Profit 1,1.72,96640.63,,
41.17,3427.66,Trailing Stop,2.73,100068.29,,
56.04,-1012.08,Trailing Stop,0.78,99056.21,,
53.93,-4367.87,Stop Loss,0.47,94688.34,,
