Unnamed: 0,Unnamed: 1,Unnamed: 2,Gross P&L Total,"-9,258.99",Unnamed: 5,Unnamed: 6
,,,,,,
Indicators Activated,EMA Parameters,SL Points,TP Points,Trailing Stop,Green Bars Required for Entry,
EMA Crossover,"Fast EMA: 9, Slow EMA: 21",12.0,"10.0, 25.0, 50.0, 100.0","Enabled: True, Activation: 5.0 points, Distance: 7.0 points",7,
,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L
,,,,,,
2025-07-18 11:08:05,2025-07-18 11:27:18,197.95,185.95,,375,-4543.68
2025-07-18 11:44:07,2025-07-18 11:49:54,210.65,198.2,,375,-4715.31
,,,,,,
Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding,,
,,Starting Capital,,100000,,
43.68,-4587.36,Stop Loss,19.22,95412.64,,
46.56,-4761.87,Stop Loss,5.78,90650.77,,
