Unnamed: 0,Unnamed: 1,Unnamed: 2,Gross P&L Total,"-23,732.10",Unnamed: 5,Unnamed: 6
,,,,,,
Indicators Activated,EMA Parameters,MACD Parameters,SL Points,TP Points,Trailing Stop,Green Bars Required for Entry
"EMA Crossover, MACD, VWAP, ATR","Fast EMA: 9, Slow EMA: 21","Fast: 12, Slow: 26, Signal: 9",15.0,"10.0, 25.0, 50.0, 100.0","Enabled: False, Activation: 5.0 points, Distance: 7.0 points",3
,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L
,,,,,,
2025-09-25 09:27:24,2025-09-25 09:29:40,254.1,238.85,,393,-6053.27
2025-09-25 09:31:43,2025-09-25 09:33:24,246,229.6,,381,-6304.33
2025-09-25 09:38:17,2025-09-25 09:43:26,240,225,,364,-5512.37
2025-09-25 11:21:44,2025-09-25 11:27:52,212.65,197.55,,385,-5862.13
,,,,,,
Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding,,
,,Starting Capital,,100000,,
60.02,-6113.29,Stop Loss,2.27,93886.71,,
55.93,-6360.27,Stop Loss,1.68,87526.45,,
52.37,-5564.73,Stop Loss,5.15,81961.71,,
48.63,-5910.76,Stop Loss,6.13,76050.95,,
